Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_261,VPWR,li1,125.8100,138.7200,1.799580
FILLER_47_250,VPWR,li1,120.9800,138.7200,1.799586
FILLER_47_238,VPWR,li1,115.4600,138.7200,1.799593
FILLER_47_225,VPWR,li1,109.2500,138.7200,1.799611
FILLER_47_223,VPWR,li1,108.3300,138.7200,1.799611
FILLER_47_216,VPWR,li1,105.8000,138.7200,1.799617
FILLER_47_209,VPWR,li1,102.5800,138.7200,1.799627
FILLER_47_202,VPWR,li1,99.3600,138.7200,1.799640
FILLER_47_197,VPWR,li1,96.6000,138.7200,1.799646
FILLER_47_195,VPWR,li1,95.4500,138.7200,1.799646
FILLER_47_191,VPWR,li1,93.6100,138.7200,1.799652
FILLER_47_175,VPWR,li1,86.7100,138.7200,1.799677
FILLER_47_169,VPWR,li1,83.7200,138.7200,1.799685
FILLER_47_160,VPWR,li1,80.0400,138.7200,1.799699
FILLER_47_153,VPWR,li1,76.8200,138.7200,1.799711
FILLER_47_147,VPWR,li1,73.8300,138.7200,1.799722
FILLER_47_141,VPWR,li1,70.8400,138.7200,1.799733
FILLER_47_139,VPWR,li1,69.6900,138.7200,1.799740
FILLER_47_132,VPWR,li1,67.1600,138.7200,1.799748
FILLER_47_126,VPWR,li1,64.1700,138.7200,1.799767
FILLER_47_118,VPWR,li1,60.7200,138.7200,1.799781
FILLER_47_113,VPWR,li1,57.9600,138.7200,1.799791
FILLER_47_111,VPWR,li1,56.8100,138.7200,1.799791
FILLER_47_104,VPWR,li1,54.2800,138.7200,1.799802
FILLER_47_99,VPWR,li1,51.5200,138.7200,1.799814
FILLER_47_91,VPWR,li1,49.2200,138.7200,1.799824
FILLER_47_85,VPWR,li1,45.0800,138.7200,1.799843
FILLER_47_76,VPWR,li1,41.4000,138.7200,1.799860
FILLER_47_69,VPWR,li1,38.1800,138.7200,1.799875
FILLER_47_62,VPWR,li1,34.9600,138.7200,1.799890
FILLER_47_57,VPWR,li1,32.2000,138.7200,1.799910
FILLER_47_53,VPWR,li1,30.5900,138.7200,1.799910
FILLER_47_41,VPWR,li1,27.1400,138.7200,1.799927
FILLER_47_29,VPWR,li1,21.6200,138.7200,1.799953
FILLER_47_27,VPWR,li1,18.1700,138.7200,1.799953
FILLER_47_15,VPWR,li1,15.1800,138.7200,1.799953
FILLER_47_3,VPWR,li1,9.6600,138.7200,1.799953
FILLER_46_253,VPWR,li1,122.1300,138.7200,1.799583
FILLER_46_240,VPWR,li1,116.1500,138.7200,1.799593
FILLER_46_229,VPWR,li1,111.3200,138.7200,1.799605
FILLER_46_217,VPWR,li1,108.1000,138.7200,1.799611
FILLER_46_209,VPWR,li1,102.1200,138.7200,1.799627
FILLER_46_201,VPWR,li1,99.8200,138.7200,1.799634
FILLER_46_195,VPWR,li1,95.4500,138.7200,1.799646
FILLER_46_174,VPWR,li1,86.2500,138.7200,1.799677
FILLER_46_162,VPWR,li1,82.8000,138.7200,1.799692
FILLER_46_150,VPWR,li1,77.2800,138.7200,1.799711
FILLER_46_136,VPWR,li1,69.0000,138.7200,1.799740
FILLER_46_124,VPWR,li1,65.3200,138.7200,1.799755
FILLER_46_109,VPWR,li1,57.0400,138.7200,1.799791
FILLER_46_97,VPWR,li1,52.9000,138.7200,1.799814
FILLER_46_85,VPWR,li1,47.3800,138.7200,1.799832
FILLER_46_83,VPWR,li1,43.9300,138.7200,1.799851
FILLER_46_77,VPWR,li1,42.3200,138.7200,1.799860
FILLER_46_65,VPWR,li1,38.1800,138.7200,1.799875
FILLER_46_53,VPWR,li1,32.6600,138.7200,1.799901
