net,length_um
net181,232.09µm
net118,205.78µm
net185,205.4µm
net197,203.51µm
net191,191.06µm
net208,187.35µm
net128,186.66µm
net136,181.5µm
net112,179.7µm
net219,170.96µm
net217,170.255µm
net203,166.03µm
net132,165.43µm
net142,162.02µm
net212,161.445µm
net114,161.06µm
net138,160.73µm
net120,157.66µm
net134,151.56µm
net187,150.49µm
net214,148.58µm
net201,145.84µm
net205,144.48µm
net193,144.26µm
net220,142.545µm
net126,142.47µm
net210,142.42µm
net116,139.32µm
net227,138.39µm
net195,136.9µm
net184,135.4µm
net119,135.17µm
net135,134.16µm
net124,133.9µm
net130,133.26µm
net199,132.93µm
net140,131.14µm
net189,129.91µm
net229,129.75µm
net223,129.095µm
net192,125.64µm
net168,124.84µm
net154,122.72µm
net158,122.08µm
net139,119.46µm
net122,119.2µm
net254,118.88µm
net113,117.93µm
net224,117.615µm
net215,116.45µm
net133,115.38µm
net143,114.97µm
net141,113.72µm
net211,112.425µm
net228,112.02µm
net213,111.925µm
net198,111.7µm
net171,110.92µm
net148,109.41µm
net163,109.19µm
net144,107.4µm
net137,107.18µm
net131,106.22µm
net129,105.98µm
net196,104.98µm
net121,104.715µm
net209,104.53µm
net202,103.54µm
net117,103.3µm
net194,101.33µm
net204,100.01µm
net190,99.72µm
clknet_1_1__leaf_clk,99.52µm
net115,97.59µm
net200,97.295µm
net218,97.295µm
net62,97.28µm
net174,97.18µm
net125,94.72µm
_0296_,93.56µm
net88,93.54µm
_0194_,93.36µm
net150,92.79µm
net206,92.43µm
net17,92.07µm
net230,91.94µm
net249,90.075µm
_0204_,89.42µm
net123,88.41µm
_0005_,88.35µm
net248,88.26µm
net160,87.665µm
_0244_,86.78µm
_0164_,86µm
net12,84.22µm
net25,83.945µm
net127,82.44µm
net146,82.44µm
net6,81.04µm
_0214_,80.44µm
_0101_,80.33µm
net166,78.1µm
net99,78.04µm
net165,77.72µm
net167,76.86µm
net56,76.1µm
net172,75.7µm
net29,74.54µm
net178,74.4µm
clk,74.04µm
net176,73.025µm
_0114_,72.12µm
net188,71.66µm
net164,71.44µm
net109,70.99µm
_0129_,70.8µm
_0134_,70.79µm
clknet_1_0__leaf_clk,70.7µm
net162,69.9µm
net243,68.835µm
_0059_,68.17µm
net170,66.58µm
_0294_,65.98µm
_0115_,65.36µm
net175,65.32µm
net246,65.125µm
_0295_,65.11µm
net33,64.12µm
_0189_,63.36µm
_0362_,62.93µm
net182,62.825µm
net186,62.18µm
net157,62.16µm
_0175_,61.98µm
net242,61.69µm
net10,61.52µm
net180,61.425µm
_0299_,61.275µm
net153,61.2µm
net26,60.95µm
net152,60.67µm
_0264_,59.76µm
net161,59.6µm
net244,59.045µm
_0061_,58.95µm
net156,58.64µm
net155,58.62µm
net82,58.4µm
_0265_,57.95µm
_0007_,57.06µm
_0120_,56.82µm
net260,56.44µm
_0073_,56.42µm
net232,55.92µm
_0127_,55.39µm
_0303_,55.09µm
_0121_,54.82µm
net90,54.49µm
_0145_,54.46µm
net36,54.3µm
_0098_,53.96µm
net102,53.94µm
_0074_,53.81µm
net43,53.26µm
net57,53.24µm
_0065_,52.88µm
_0144_,52.88µm
_0183_,52.42µm
net233,52.255µm
_0072_,51.52µm
net263,50.34µm
_0275_,50.29µm
net95,50.26µm
_0010_,50.24µm
_0289_,49.24µm
_0284_,48.92µm
_0014_,48.78µm
_0234_,48.72µm
net245,48.48µm
net103,48.36µm
_0135_,48.28µm
_0122_,48.22µm
_0221_,48.14µm
net159,47.94µm
net237,47.775µm
_0159_,47.6µm
_0062_,47.44µm
net179,47.42µm
net239,47.3µm
_0320_,46.92µm
_0123_,46.86µm
_0254_,46.78µm
net51,46.58µm
_0155_,46.42µm
_0363_,45.01µm
net96,44.68µm
net240,43.64µm
_0328_,43.56µm
_0013_,43.2µm
net173,43.16µm
net111,42.8µm
net261,42.62µm
net234,42.54µm
