Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_269,VGND,li1,129.4900,141.4400,0.000752
FILLER_47_223,VGND,li1,108.3300,141.4400,0.000710
FILLER_47_209,VGND,li1,102.5800,141.4400,0.000686
FILLER_47_202,VGND,li1,99.3600,141.4400,0.000670
FILLER_47_197,VGND,li1,96.6000,141.4400,0.000656
FILLER_47_195,VGND,li1,95.4500,141.4400,0.000645
FILLER_47_191,VGND,li1,93.6100,141.4400,0.000635
FILLER_47_175,VGND,li1,86.7100,141.4400,0.000603
FILLER_47_169,VGND,li1,83.7200,141.4400,0.000587
FILLER_47_160,VGND,li1,79.5800,141.4400,0.000561
FILLER_47_153,VGND,li1,76.8200,141.4400,0.000542
FILLER_47_147,VGND,li1,73.8300,141.4400,0.000522
FILLER_47_141,VGND,li1,70.8400,141.4400,0.000501
FILLER_47_139,VGND,li1,69.6900,141.4400,0.000485
FILLER_47_132,VGND,li1,67.1600,141.4400,0.000460
FILLER_47_126,VGND,li1,64.1700,141.4400,0.000436
FILLER_47_118,VGND,li1,60.7200,141.4400,0.000407
FILLER_47_113,VGND,li1,57.9600,141.4400,0.000388
FILLER_47_111,VGND,li1,56.8100,141.4400,0.000388
FILLER_47_104,VGND,li1,54.2800,141.4400,0.000367
FILLER_47_99,VGND,li1,51.5200,141.4400,0.000344
FILLER_47_91,VGND,li1,49.2200,141.4400,0.000324
FILLER_47_85,VGND,li1,45.0800,141.4400,0.000289
FILLER_47_76,VGND,li1,41.4000,141.4400,0.000239
FILLER_47_69,VGND,li1,38.1800,141.4400,0.000208
FILLER_47_62,VGND,li1,34.9600,141.4400,0.000177
FILLER_47_57,VGND,li1,32.2000,141.4400,0.000150
FILLER_47_53,VGND,li1,30.5900,141.4400,0.000150
FILLER_47_41,VGND,li1,27.1400,141.4400,0.000117
FILLER_47_29,VGND,li1,21.6200,141.4400,0.000097
FILLER_47_27,VGND,li1,18.1700,141.4400,0.000097
FILLER_47_15,VGND,li1,15.1800,141.4400,0.000097
FILLER_47_3,VGND,li1,9.6600,141.4400,0.000097
FILLER_46_250,VGND,li1,120.9800,136.0000,0.002378
FILLER_46_238,VGND,li1,115.2300,136.0000,0.002312
FILLER_46_228,VGND,li1,110.6300,136.0000,0.002230
FILLER_46_224,VGND,li1,109.4800,136.0000,0.002230
FILLER_46_216,VGND,li1,105.5700,136.0000,0.002168
FILLER_46_208,VGND,li1,101.6600,136.0000,0.002085
FILLER_46_197,VGND,li1,96.3700,136.0000,0.001995
FILLER_46_194,VGND,li1,95.2200,136.0000,0.001954
FILLER_46_164,VGND,li1,83.7200,136.0000,0.001736
FILLER_46_155,VGND,li1,77.2800,136.0000,0.001562
FILLER_46_134,VGND,li1,68.5400,136.0000,0.001390
FILLER_46_115,VGND,li1,58.6500,136.0000,0.001129
FILLER_46_109,VGND,li1,57.0400,136.0000,0.001075
FILLER_46_97,VGND,li1,52.9000,136.0000,0.000979
FILLER_46_85,VGND,li1,47.3800,136.0000,0.000847
FILLER_46_83,VGND,li1,43.9300,136.0000,0.000714
FILLER_46_77,VGND,li1,42.3200,136.0000,0.000714
FILLER_46_65,VGND,li1,38.1800,136.0000,0.000605
FILLER_46_53,VGND,li1,32.6600,136.0000,0.000460
FILLER_46_41,VGND,li1,27.1400,136.0000,0.000315
FILLER_46_29,VGND,li1,21.6200,136.0000,0.000263
FILLER_46_27,VGND,li1,18.1700,136.0000,0.000263
FILLER_46_15,VGND,li1,15.1800,136.0000,0.000263
FILLER_46_3,VGND,li1,9.6600,136.0000,0.000263
