Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_269,VPWR,li1,129.4900,138.7200,1.798027
FILLER_47_223,VPWR,li1,108.3300,138.7200,1.798209
FILLER_47_209,VPWR,li1,102.5800,138.7200,1.798274
FILLER_47_202,VPWR,li1,99.3600,138.7200,1.798341
FILLER_47_197,VPWR,li1,96.6000,138.7200,1.798375
FILLER_47_195,VPWR,li1,95.4500,138.7200,1.798375
FILLER_47_191,VPWR,li1,93.6100,138.7200,1.798402
FILLER_47_175,VPWR,li1,86.7100,138.7200,1.798505
FILLER_47_169,VPWR,li1,83.7200,138.7200,1.798551
FILLER_47_160,VPWR,li1,79.5800,138.7200,1.798636
FILLER_47_153,VPWR,li1,76.8200,138.7200,1.798682
FILLER_47_147,VPWR,li1,73.8300,138.7200,1.798714
FILLER_47_141,VPWR,li1,70.8400,138.7200,1.798787
FILLER_47_139,VPWR,li1,69.6900,138.7200,1.798787
FILLER_47_132,VPWR,li1,67.1600,138.7200,1.798834
FILLER_47_126,VPWR,li1,64.1700,138.7200,1.798920
FILLER_47_118,VPWR,li1,60.7200,138.7200,1.798956
FILLER_47_113,VPWR,li1,57.9600,138.7200,1.799036
FILLER_47_111,VPWR,li1,56.8100,138.7200,1.799036
FILLER_47_104,VPWR,li1,54.2800,138.7200,1.799087
FILLER_47_99,VPWR,li1,51.5200,138.7200,1.799144
FILLER_47_91,VPWR,li1,49.2200,138.7200,1.799191
FILLER_47_85,VPWR,li1,45.0800,138.7200,1.799276
FILLER_47_76,VPWR,li1,41.4000,138.7200,1.799354
FILLER_47_69,VPWR,li1,38.1800,138.7200,1.799424
FILLER_47_62,VPWR,li1,34.9600,138.7200,1.799493
FILLER_47_57,VPWR,li1,32.2000,138.7200,1.799588
FILLER_47_53,VPWR,li1,30.5900,138.7200,1.799588
FILLER_47_41,VPWR,li1,27.1400,138.7200,1.799663
FILLER_47_29,VPWR,li1,21.6200,138.7200,1.799783
FILLER_47_27,VPWR,li1,18.1700,138.7200,1.799783
FILLER_47_15,VPWR,li1,15.1800,138.7200,1.799783
FILLER_47_3,VPWR,li1,9.6600,138.7200,1.799783
FILLER_46_250,VPWR,li1,120.9800,138.7200,1.798071
FILLER_46_238,VPWR,li1,115.2300,138.7200,1.798116
FILLER_46_228,VPWR,li1,110.6300,138.7200,1.798182
FILLER_46_224,VPWR,li1,109.4800,138.7200,1.798182
FILLER_46_216,VPWR,li1,105.5700,138.7200,1.798249
FILLER_46_208,VPWR,li1,101.6600,138.7200,1.798303
FILLER_46_197,VPWR,li1,96.3700,138.7200,1.798375
FILLER_46_194,VPWR,li1,95.2200,138.7200,1.798402
FILLER_46_164,VPWR,li1,83.7200,138.7200,1.798551
FILLER_46_155,VPWR,li1,77.2800,138.7200,1.798682
FILLER_46_134,VPWR,li1,68.5400,138.7200,1.798834
FILLER_46_115,VPWR,li1,58.6500,138.7200,1.798998
FILLER_46_109,VPWR,li1,57.0400,138.7200,1.799036
FILLER_46_97,VPWR,li1,52.9000,138.7200,1.799144
FILLER_46_85,VPWR,li1,47.3800,138.7200,1.799228
FILLER_46_83,VPWR,li1,43.9300,138.7200,1.799315
FILLER_46_77,VPWR,li1,42.3200,138.7200,1.799354
FILLER_46_65,VPWR,li1,38.1800,138.7200,1.799424
FILLER_46_53,VPWR,li1,32.6600,138.7200,1.799543
FILLER_46_41,VPWR,li1,27.1400,138.7200,1.799663
FILLER_46_29,VPWR,li1,21.6200,138.7200,1.799783
FILLER_46_27,VPWR,li1,18.1700,138.7200,1.799783
FILLER_46_15,VPWR,li1,15.1800,138.7200,1.799783
FILLER_46_3,VPWR,li1,9.6600,138.7200,1.799783
FILLER_45_248,VPWR,li1,120.0600,133.2800,1.797047
FILLER_45_217,VPWR,li1,105.8000,133.2800,1.797201
FILLER_45_193,VPWR,li1,94.5300,133.2800,1.797414
FILLER_45_178,VPWR,li1,87.6300,133.2800,1.797558
FILLER_45_169,VPWR,li1,83.4900,133.2800,1.797642
FILLER_45_154,VPWR,li1,76.5900,133.2800,1.797815
FILLER_45_125,VPWR,li1,63.4800,133.2800,1.798215
FILLER_45_113,VPWR,li1,58.1900,133.2800,1.798391
FILLER_45_108,VPWR,li1,56.1200,133.2800,1.798461
