Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,453
design__inferred_latch__count,0
design__instance__count,1245
design__instance__area,10147.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003369101556017995
power__switching__total,0.002882731147110462
power__leakage__total,1.217925493790517E-8
power__total,0.006251844577491283
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.8988077203579048
clock__skew__worst_setup__corner:nom_tt_025C_1v80,2.2290434573500595
timing__hold__ws__corner:nom_tt_025C_1v80,0.3313225343416971
timing__setup__ws__corner:nom_tt_025C_1v80,1.5479153952299711
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.331323
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.106942
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,10
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,1.7613302426203752
clock__skew__worst_setup__corner:nom_ss_100C_1v60,4.118115742751992
timing__hold__ws__corner:nom_ss_100C_1v60,0.1723173874586317
timing__setup__ws__corner:nom_ss_100C_1v60,-0.4818834356829465
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-5.552439998272493
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.4818834356829465
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.892917
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,22
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.481883
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,14
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.8366741980498044
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.519606261613627
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12294021704194612
timing__setup__ws__corner:nom_ff_n40C_1v95,2.32259151818451
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.122940
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,3.075596
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,1.7913404600031597
clock__skew__worst_setup,1.504023836933102
timing__hold__ws,0.1194877841602034
timing__setup__ws,-0.5381224507196966
timing__hold__tns,0.0
timing__setup__tns,-6.51674199715139
timing__hold__wns,0
timing__setup__wns,-0.5381224507196966
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119488
timing__hold_r2r_vio__count,0
timing__setup_vio__count,64
timing__setup_r2r__ws,-0.528157
timing__setup_r2r_vio__count,40
design__die__bbox,0.0 0.0 143.445 154.165
design__core__bbox,5.52 10.88 137.54 141.44
design__io,114
design__die__area,22114.2
design__core__area,17236.5
design__instance__count__stdcell,1245
design__instance__area__stdcell,10147.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.588705
design__instance__utilization__stdcell,0.588705
design__instance__count__class:buffer,2
design__instance__count__class:inverter,10
design__instance__count__class:sequential_cell,314
design__instance__count__class:multi_input_combinational_cell,395
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1068
design__instance__count__class:tap_cell,250
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,112
design__io__hpwl,6099205
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,23985.4
design__violations,0
design__instance__count__class:timing_repair_buffer,269
design__instance__count__class:clock_buffer,4
design__instance__count__setup_buffer,13
design__instance__count__hold_buffer,6
design__instance__count__class:timing_repair_inverter,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1057
route__net__special,2
route__drc_errors__iter:1,544
route__wirelength__iter:1,28077
route__drc_errors__iter:2,282
route__wirelength__iter:2,27844
route__drc_errors__iter:3,264
route__wirelength__iter:3,27710
route__drc_errors__iter:4,14
route__wirelength__iter:4,27629
route__drc_errors__iter:5,0
route__wirelength__iter:5,27616
route__drc_errors,0
route__wirelength,27616
route__vias,7139
route__vias__singlecut,7139
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,232.09
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.8930860748163775
clock__skew__worst_setup__corner:min_tt_025C_1v80,2.206825451508288
timing__hold__ws__corner:min_tt_025C_1v80,0.32658748851890584
timing__setup__ws__corner:min_tt_025C_1v80,1.5769987984055864
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
