net,length_um
net132,221.45µm
net183,208.1µm
net179,204.1µm
net116,203.16µm
net136,198.52µm
net138,185.18µm
net189,185.08µm
net216,177.88µm
net124,176.56µm
net208,171.665µm
net112,170.28µm
net140,169.98µm
net130,169.34µm
net199,163.67µm
net191,162.98µm
net187,160.47µm
net201,157.145µm
net193,156.255µm
net210,155.545µm
net197,150.18µm
net120,147.52µm
net218,145.975µm
net134,143.89µm
net176,142.78µm
net114,142.32µm
net185,141.39µm
net128,141.38µm
net221,140.8µm
net172,140.6µm
net166,136.61µm
net195,134.965µm
net203,134.11µm
net222,132.47µm
net122,131.23µm
net182,129.66µm
net119,129.27µm
net206,128.525µm
net227,127.84µm
net126,127.5µm
_0055_,126.84µm
net217,126.825µm
net219,125.505µm
net139,122.98µm
net202,122.2µm
net118,121.99µm
net142,120.97µm
net144,120.56µm
net156,120.555µm
net137,119.7µm
net180,119.615µm
net129,119.33µm
net212,119.15µm
net196,118.805µm
net225,118.08µm
net207,116.945µm
net141,116.92µm
net213,115.77µm
net211,114.255µm
net109,113.04µm
net190,112.48µm
net161,109.9µm
net209,109.78µm
net113,107.68µm
net143,106.9µm
net198,106.39µm
net135,106.28µm
net117,101.07µm
net200,100.4µm
net204,99.79µm
net146,98.03µm
net228,97.78µm
net158,96.73µm
net164,96.69µm
clknet_1_1__leaf_clk,95.58µm
net192,94.42µm
net62,93.96µm
net188,92.855µm
net226,92.78µm
net246,91.51µm
_0204_,90.6µm
net125,90.5µm
net131,89.37µm
_0164_,88.4µm
net148,88.085µm
net133,88.08µm
net245,87.08µm
net115,86.92µm
net170,86.42µm
net127,86.37µm
net12,86.31µm
net169,86.04µm
net25,85.615µm
net153,85.02µm
_0194_,84.52µm
net121,84.17µm
_0244_,84.1µm
net123,83.84µm
net181,82.905µm
_0264_,82.2µm
_0214_,81.3µm
net162,80.1µm
net6,80.04µm
net194,79.59µm
net152,79.42µm
net165,78.48µm
_0296_,78.17µm
_0101_,77.39µm
net56,76.98µm
_0059_,75.79µm
_0129_,74.44µm
clk,74.04µm
net17,73.68µm
net33,73.2µm
net29,72.46µm
_0134_,72.335µm
net163,72.1µm
net99,72.06µm
net177,71.64µm
net160,69.86µm
_0189_,69.18µm
net178,69.12µm
