Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_261,VGND,li1,125.8100,141.4400,0.000220
FILLER_47_250,VGND,li1,120.9800,141.4400,0.000217
FILLER_47_238,VGND,li1,115.4600,141.4400,0.000214
FILLER_47_225,VGND,li1,109.2500,141.4400,0.000204
FILLER_47_223,VGND,li1,108.3300,141.4400,0.000204
FILLER_47_216,VGND,li1,105.8000,141.4400,0.000200
FILLER_47_209,VGND,li1,102.5800,141.4400,0.000195
FILLER_47_202,VGND,li1,99.3600,141.4400,0.000190
FILLER_47_197,VGND,li1,96.6000,141.4400,0.000185
FILLER_47_195,VGND,li1,95.4500,141.4400,0.000182
FILLER_47_191,VGND,li1,93.6100,141.4400,0.000179
FILLER_47_175,VGND,li1,86.7100,141.4400,0.000169
FILLER_47_169,VGND,li1,83.7200,141.4400,0.000164
FILLER_47_160,VGND,li1,80.0400,141.4400,0.000158
FILLER_47_153,VGND,li1,76.8200,141.4400,0.000151
FILLER_47_147,VGND,li1,73.8300,141.4400,0.000145
FILLER_47_141,VGND,li1,70.8400,141.4400,0.000139
FILLER_47_139,VGND,li1,69.6900,141.4400,0.000135
FILLER_47_132,VGND,li1,67.1600,141.4400,0.000128
FILLER_47_126,VGND,li1,64.1700,141.4400,0.000121
FILLER_47_118,VGND,li1,60.7200,141.4400,0.000113
FILLER_47_113,VGND,li1,57.9600,141.4400,0.000108
FILLER_47_111,VGND,li1,56.8100,141.4400,0.000108
FILLER_47_104,VGND,li1,54.2800,141.4400,0.000102
FILLER_47_99,VGND,li1,51.5200,141.4400,0.000095
FILLER_47_91,VGND,li1,49.2200,141.4400,0.000090
FILLER_47_85,VGND,li1,45.0800,141.4400,0.000080
FILLER_47_76,VGND,li1,41.4000,141.4400,0.000066
FILLER_47_69,VGND,li1,38.1800,141.4400,0.000058
FILLER_47_62,VGND,li1,34.9600,141.4400,0.000049
FILLER_47_57,VGND,li1,32.2000,141.4400,0.000042
FILLER_47_53,VGND,li1,30.5900,141.4400,0.000042
FILLER_47_41,VGND,li1,27.1400,141.4400,0.000032
FILLER_47_29,VGND,li1,21.6200,141.4400,0.000027
FILLER_47_27,VGND,li1,18.1700,141.4400,0.000027
FILLER_47_15,VGND,li1,15.1800,141.4400,0.000027
FILLER_47_3,VGND,li1,9.6600,141.4400,0.000027
FILLER_46_253,VGND,li1,122.1300,136.0000,0.000534
FILLER_46_240,VGND,li1,116.1500,136.0000,0.000523
FILLER_46_229,VGND,li1,111.3200,136.0000,0.000510
FILLER_46_217,VGND,li1,108.1000,136.0000,0.000496
FILLER_46_209,VGND,li1,102.1200,136.0000,0.000482
FILLER_46_201,VGND,li1,99.8200,136.0000,0.000475
FILLER_46_195,VGND,li1,95.4500,136.0000,0.000452
FILLER_46_174,VGND,li1,86.2500,136.0000,0.000417
FILLER_46_162,VGND,li1,82.8000,136.0000,0.000397
FILLER_46_150,VGND,li1,77.2800,136.0000,0.000371
FILLER_46_136,VGND,li1,69.0000,136.0000,0.000336
FILLER_46_124,VGND,li1,65.3200,136.0000,0.000317
FILLER_46_109,VGND,li1,57.0400,136.0000,0.000268
FILLER_46_97,VGND,li1,52.9000,136.0000,0.000242
FILLER_46_85,VGND,li1,47.3800,136.0000,0.000207
FILLER_46_83,VGND,li1,43.9300,136.0000,0.000174
FILLER_46_77,VGND,li1,42.3200,136.0000,0.000174
FILLER_46_65,VGND,li1,38.1800,136.0000,0.000148
FILLER_46_53,VGND,li1,32.6600,136.0000,0.000112
FILLER_46_41,VGND,li1,27.1400,136.0000,0.000077
FILLER_46_29,VGND,li1,21.6200,136.0000,0.000064
FILLER_46_27,VGND,li1,18.1700,136.0000,0.000064
FILLER_46_15,VGND,li1,15.1800,136.0000,0.000064
FILLER_46_3,VGND,li1,9.6600,136.0000,0.000064
FILLER_45_274,VGND,li1,132.0200,136.0000,0.000548
FILLER_45_247,VGND,li1,119.3700,136.0000,0.000527
FILLER_45_225,VGND,li1,109.4800,136.0000,0.000503
