┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins ┃ Disconnected ┃ Signal Pins ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ bridge         │ VPWR       │              │ PADDR[0]    │ PRDATA[0]    │
│                │ VGND       │              │ PADDR[1]    │ PRDATA[10]   │
│                │            │              │ PADDR[2]    │ PRDATA[11]   │
│                │            │              │ PENABLE     │ PRDATA[12]   │
│                │            │              │ PREADY      │ PRDATA[13]   │
│                │            │              │ PSEL1       │ PRDATA[14]   │
│                │            │              │ PSEL2       │ PRDATA[15]   │
│                │            │              │ PSEL3       │ PRDATA[1]    │
│                │            │              │ PSEL4       │ PRDATA[2]    │
│                │            │              │ PWDATA[0]   │ PRDATA[3]    │
│                │            │              │ PWDATA[10]  │ PRDATA[4]    │
│                │            │              │ PWDATA[11]  │ PRDATA[5]    │
│                │            │              │ PWDATA[12]  │ PRDATA[6]    │
│                │            │              │ PWDATA[13]  │ PRDATA[7]    │
│                │            │              │ PWDATA[14]  │ PRDATA[8]    │
│                │            │              │ PWDATA[15]  │ PRDATA[9]    │
│                │            │              │ PWDATA[1]   │ araddr[3]    │
│                │            │              │ PWDATA[2]   │ araddr[4]    │
│                │            │              │ PWDATA[3]   │ awaddr[3]    │
│                │            │              │ PWDATA[4]   │ awaddr[4]    │
│                │            │              │ PWDATA[5]   │ wdata[0]     │
│                │            │              │ PWDATA[6]   │ wdata[10]    │
│                │            │              │ PWDATA[7]   │ wdata[11]    │
│                │            │              │ PWDATA[8]   │ wdata[12]    │
│                │            │              │ PWDATA[9]   │ wdata[13]    │
│                │            │              │ PWRITE      │ wdata[14]    │
│                │            │              │ araddr[0]   │ wdata[15]    │
│                │            │              │ araddr[1]   │ wdata[1]     │
│                │            │              │ araddr[2]   │ wdata[2]     │
│                │            │              │ arburst[0]  │ wdata[3]     │
│                │            │              │ arburst[1]  │ wdata[4]     │
│                │            │              │ arlen[0]    │ wdata[5]     │
│                │            │              │ arlen[1]    │ wdata[6]     │
│                │            │              │ arlen[2]    │ wdata[7]     │
│                │            │              │ arlen[3]    │ wdata[8]     │
│                │            │              │ arready     │ wdata[9]     │
│                │            │              │ arvalid     │              │
│                │            │              │ awaddr[0]   │              │
│                │            │              │ awaddr[1]   │              │
│                │            │              │ awaddr[2]   │              │
│                │            │              │ awburst[0]  │              │
│                │            │              │ awburst[1]  │              │
│                │            │              │ awlen[0]    │              │
│                │            │              │ awlen[1]    │              │
│                │            │              │ awlen[2]    │              │
│                │            │              │ awlen[3]    │              │
│                │            │              │ awready     │              │
│                │            │              │ awvalid     │              │
│                │            │              │ bready      │              │
│                │            │              │ bresp       │              │
│                │            │              │ bvalid      │              │
│                │            │              │ clk         │              │
│                │            │              │ rdata[0]    │              │
│                │            │              │ rdata[10]   │              │
│                │            │              │ rdata[11]   │              │
│                │            │              │ rdata[12]   │              │
│                │            │              │ rdata[13]   │              │
│                │            │              │ rdata[14]   │              │
│                │            │              │ rdata[15]   │              │
│                │            │              │ rdata[1]    │              │
│                │            │              │ rdata[2]    │              │
│                │            │              │ rdata[3]    │              │
│                │            │              │ rdata[4]    │              │
│                │            │              │ rdata[5]    │              │
│                │            │              │ rdata[6]    │              │
│                │            │              │ rdata[7]    │              │
│                │            │              │ rdata[8]    │              │
│                │            │              │ rdata[9]    │              │
│                │            │              │ res_n       │              │
│                │            │              │ rlast       │              │
│                │            │              │ rready      │              │
│                │            │              │ rresp       │              │
│                │            │              │ rvalid      │              │
│                │            │              │ wlast       │              │
│                │            │              │ wready      │              │
│                │            │              │ wvalid      │              │
└────────────────┴────────────┴──────────────┴─────────────┴──────────────┘
