net,length_um
net32,131.24µm
clknet_2_0__leaf_clk,124.18µm
net52,112.23µm
clknet_2_1__leaf_clk,111.58µm
net46,95.62µm
net41,90.475µm
clknet_2_2__leaf_clk,89.8µm
net54,87.91µm
net47,87.88µm
clknet_2_3__leaf_clk,86.22µm
_031_,85.68µm
net53,85.65µm
_120_,84.95µm
clknet_0_clk,75.12µm
net56,70.9µm
net48,68.87µm
wvalid_pipe,67.08µm
net55,66.25µm
_020_,65.495µm
_048_,60.96µm
net50,59.66µm
net45,58.92µm
net51,58.62µm
net1,55.44µm
net49,55.28µm
lenS\[0\],54.345µm
DWREQ,53.6µm
net25,51.2µm
net23,50.2µm
_030_,46.48µm
lenM\[0\],45.84µm
current_state\[3\],45.16µm
lenS\[1\],44.53µm
_107_,44.44µm
_044_,43.62µm
_058_,42.26µm
_080_,41.8µm
net37,40.86µm
clk,40.27µm
_122_,40.22µm
net39,40.11µm
_051_,37.78µm
DADDR\[0\],36.56µm
_050_,34.78µm
lenS\[3\],33.52µm
_036_,33.485µm
arlen_pipe\[3\],33.44µm
arlen_pipe\[1\],33.42µm
_109_,33.16µm
current_state\[0\],32.96µm
lenM\[3\],32.46µm
arvalid_pipe,31.68µm
_124_,31.42µm
arlen_pipe\[2\],30.48µm
arlen_pipe\[0\],30.38µm
_027_,30.18µm
_119_,28.9µm
lenS\[2\],28.78µm
_040_,28.725µm
_114_,26.565µm
lenM\[1\],26.455µm
_123_,26.04µm
lenM\[2\],25.835µm
_094_,24.88µm
_054_,24.76µm
_098_,24.4µm
_006_,24.3µm
net33,23.43µm
DADDR\[2\],23.12µm
awvalid_pipe,22.26µm
net58,21.88µm
_101_,21.46µm
net40,21.24µm
_125_,21µm
current_state\[1\],20.92µm
net67,20.64µm
_106_,20.56µm
DADDR\[1\],19.8µm
_028_,18.8µm
_059_,18.68µm
net44,18.46µm
net31,18.12µm
_057_,17.56µm
awburst[1],16.99µm
_029_,16.975µm
net66,15.95µm
_104_,15.64µm
_076_,15.44µm
_055_,15.105µm
current_state\[2\],15.02µm
burst\[0\],14.96µm
net21,14.96µm
net22,14.92µm
_026_,14.34µm
awlen_pipe\[1\],14.26µm
_039_,13.58µm
net75,13.26µm
_085_,13.02µm
net42,12.78µm
_037_,12.6µm
_066_,12.54µm
_121_,12.54µm
_067_,12.4µm
_095_,12.38µm
awlen_pipe\[2\],12.34µm
awaddr_pipe\[1\],12.165µm
last,11.92µm
net83,11.91µm
net69,11.89µm
net57,11.89µm
_004_,11.84µm
_072_,11.7µm
_112_,11.7µm
awvalid,11.68µm
net28,11.62µm
_021_,11.32µm
_118_,11.3µm
net34,11.3µm
awlen_pipe\[0\],11.22µm
_097_,11.1µm
_117_,11.08µm
rlast,11µm
rvalid,11µm
net7,10.98µm
awaddr_pipe\[0\],10.905µm
net62,10.76µm
net72,10.76µm
net74,10.76µm
net76,10.76µm
net63,10.76µm
net71,10.76µm
net78,10.76µm
net80,10.76µm
net81,10.76µm
net85,10.76µm
net86,10.76µm
net43,10.66µm
rresp,10.54µm
net98,10.52µm
_069_,10.32µm
_034_,10.12µm
net11,10.1µm
awlen[1],9.95µm
net60,9.73µm
_022_,9.66µm
_023_,9.66µm
araddr[1],9.64µm
araddr[2],9.64µm
arburst[0],9.64µm
arburst[1],9.64µm
awaddr[2],9.64µm
awburst[0],9.64µm
_043_,9.26µm
_108_,9.26µm
_019_,9.24µm
awburst_pipe\[1\],9.06µm
PADDR[0],8.96µm
PADDR[1],8.96µm
PADDR[2],8.5µm
_038_,8.5µm
arready,8.5µm
net16,8.26µm
wlast,8.25µm
_053_,8.2µm
_062_,8.06µm
_100_,7.92µm
_001_,7.885µm
_060_,7.78µm
net2,7.7µm
_077_,7.64µm
_042_,7.58µm
araddr_pipe\[2\],7.52µm
net68,7.37µm
net24,7.24µm
awlen[3],7.23µm
net77,7.13µm
_093_,7.1µm
wvalid,7.01µm
_041_,6.96µm
net26,6.78µm
bready,6.77µm
awburst_pipe\[0\],6.72µm
awlen[0],6.57µm
awready,6.55µm
net61,6.43µm
awaddr[0],6.31µm
bresp,6.21µm
bvalid,6.21µm
arburst_pipe\[1\],6.18µm
burst\[1\],6.14µm
_073_,6.04µm
_082_,5.98µm
awaddr[1],5.97µm
_010_,5.84µm
_090_,5.84µm
_103_,5.84µm
_089_,5.82µm
PREADY,5.75µm
net65,5.75µm
arvalid,5.75µm
net87,5.75µm
awaddr_pipe\[2\],5.725µm
_115_,5.72µm
arlen[2],5.63µm
arlen[3],5.63µm
net19,5.56µm
arlen[1],5.53µm
net14,5.46µm
net59,5.41µm
net73,5.29µm
_014_,5.26µm
net27,5.22µm
net29,5.22µm
PENABLE,5.19µm
PWRITE,5.19µm
net64,5.07µm
net91,5.07µm
net79,5.07µm
net82,5.07µm
wready,5.07µm
_013_,5.04µm
net10,5µm
_074_,4.94µm
_091_,4.88µm
net8,4.88µm
_088_,4.78µm
rready,4.73µm
araddr_pipe\[0\],4.7µm
net70,4.61µm
araddr[0],4.61µm
arlen[0],4.61µm
awlen[2],4.61µm
net92,4.61µm
res_n,4.61µm
_005_,4.58µm
_015_,4.58µm
net5,4.54µm
net18,4.54µm
awlen_pipe\[3\],4.48µm
_063_,4.46µm
net88,4.39µm
net89,4.39µm
net90,4.39µm
net84,4.39µm
_081_,4.36µm
_086_,4.2µm
_110_,4.14µm
_000_,4.12µm
_003_,4.08µm
net6,4.08µm
_061_,4.06µm
_032_,4µm
_007_,3.76µm
_025_,3.76µm
_052_,3.74µm
_078_,3.68µm
_024_,3.665µm
net15,3.54µm
net93,3.54µm
_070_,3.42µm
_113_,3.42µm
_012_,3.385µm
net30,3.22µm
_009_,3.2µm
_011_,3.2µm
_002_,3.08µm
_008_,3.08µm
_018_,3.08µm
_116_,3.08µm
_065_,2.96µm
arburst_pipe\[0\],2.96µm
_071_,2.86µm
_111_,2.785µm
_102_,2.76µm
net97,2.76µm
_099_,2.72µm
_016_,2.62µm
_035_,2.62µm
_047_,2.62µm
net38,2.5µm
net94,2.3µm
_017_,2.28µm
_049_,2.18µm
_046_,2.16µm
_064_,2.16µm
_096_,2.16µm
_105_,2.16µm
net9,2.16µm
net20,2.16µm
net36,2.04µm
_084_,2.02µm
_083_,1.84µm
net13,1.82µm
_056_,1.7µm
net3,1.7µm
net4,1.7µm
net12,1.545µm
_033_,1.48µm
_075_,1.38µm
_079_,1.38µm
_087_,1.38µm
araddr_pipe\[1\],1.36µm
net17,1.36µm
_068_,1.22µm
_092_,1.15µm
net35,1.14µm
_045_,0.92µm
net95,0.46µm
net96,0.46µm
