Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_174,VGND,li1,85.7900,92.4800,0.000063
FILLER_29_169,VGND,li1,83.7200,92.4800,0.000063
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000063
FILLER_29_160,VGND,li1,79.3500,92.4800,0.000063
FILLER_29_153,VGND,li1,76.8200,92.4800,0.000063
FILLER_29_146,VGND,li1,73.6000,92.4800,0.000063
FILLER_29_141,VGND,li1,70.8400,92.4800,0.000063
FILLER_29_139,VGND,li1,69.6900,92.4800,0.000063
FILLER_29_132,VGND,li1,67.1600,92.4800,0.000063
FILLER_29_126,VGND,li1,64.1700,92.4800,0.000063
FILLER_29_119,VGND,li1,60.9500,92.4800,0.000063
FILLER_29_113,VGND,li1,57.9600,92.4800,0.000063
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000061
FILLER_29_104,VGND,li1,54.2800,92.4800,0.000058
FILLER_29_97,VGND,li1,51.0600,92.4800,0.000055
FILLER_29_90,VGND,li1,47.8400,92.4800,0.000052
FILLER_29_85,VGND,li1,45.0800,92.4800,0.000050
FILLER_29_83,VGND,li1,43.9300,92.4800,0.000048
FILLER_29_77,VGND,li1,41.6300,92.4800,0.000046
FILLER_29_69,VGND,li1,38.1800,92.4800,0.000042
FILLER_29_57,VGND,li1,34.5000,92.4800,0.000035
FILLER_29_53,VGND,li1,30.5900,92.4800,0.000028
FILLER_29_41,VGND,li1,27.1400,92.4800,0.000022
FILLER_29_29,VGND,li1,21.6200,92.4800,0.000018
FILLER_29_24,VGND,li1,17.4800,92.4800,0.000018
FILLER_29_12,VGND,li1,13.8000,92.4800,0.000018
FILLER_28_165,VGND,li1,82.3400,87.0400,0.000006
FILLER_28_153,VGND,li1,78.6600,87.0400,0.000006
FILLER_28_141,VGND,li1,73.1400,87.0400,0.000006
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000006
FILLER_28_135,VGND,li1,68.5400,87.0400,0.000006
FILLER_28_123,VGND,li1,64.8600,87.0400,0.000006
FILLER_28_115,VGND,li1,59.1100,87.0400,0.000006
FILLER_28_109,VGND,li1,56.3500,87.0400,0.000006
FILLER_28_97,VGND,li1,52.9000,87.0400,0.000006
FILLER_28_85,VGND,li1,47.3800,87.0400,0.000005
FILLER_28_83,VGND,li1,43.9300,87.0400,0.000004
FILLER_28_77,VGND,li1,42.3200,87.0400,0.000004
FILLER_28_65,VGND,li1,38.1800,87.0400,0.000003
FILLER_28_53,VGND,li1,32.6600,87.0400,0.000003
FILLER_28_41,VGND,li1,27.1400,87.0400,0.000002
FILLER_28_29,VGND,li1,21.6200,87.0400,0.000001
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000001
FILLER_28_15,VGND,li1,15.1800,87.0400,0.000001
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000001
FILLER_27_169,VGND,li1,83.9500,87.0400,0.000006
FILLER_27_167,VGND,li1,82.5700,87.0400,0.000006
FILLER_27_161,VGND,li1,80.9600,87.0400,0.000006
FILLER_27_149,VGND,li1,76.8200,87.0400,0.000006
FILLER_27_137,VGND,li1,71.3000,87.0400,0.000006
FILLER_27_125,VGND,li1,65.7800,87.0400,0.000006
FILLER_27_113,VGND,li1,60.2600,87.0400,0.000006
FILLER_27_111,VGND,li1,56.8100,87.0400,0.000006
FILLER_27_105,VGND,li1,55.2000,87.0400,0.000006
FILLER_27_93,VGND,li1,51.0600,87.0400,0.000005
FILLER_27_81,VGND,li1,45.5400,87.0400,0.000004
FILLER_27_69,VGND,li1,40.0200,87.0400,0.000004
FILLER_27_57,VGND,li1,34.5000,87.0400,0.000003
FILLER_27_54,VGND,li1,30.8200,87.0400,0.000002
FILLER_27_42,VGND,li1,27.6000,87.0400,0.000002
FILLER_27_30,VGND,li1,22.0800,87.0400,0.000001
FILLER_27_18,VGND,li1,16.5600,87.0400,0.000001
FILLER_27_6,VGND,li1,11.0400,87.0400,0.000001
FILLER_26_173,VGND,li1,85.5600,81.6000,0.000107
FILLER_26_165,VGND,li1,83.2600,81.6000,0.000107
FILLER_26_153,VGND,li1,78.6600,81.6000,0.000107
FILLER_26_141,VGND,li1,73.1400,81.6000,0.000107
FILLER_26_139,VGND,li1,69.6900,81.6000,0.000107
FILLER_26_133,VGND,li1,68.0800,81.6000,0.000107
FILLER_26_121,VGND,li1,63.9400,81.6000,0.000107
FILLER_26_109,VGND,li1,58.4200,81.6000,0.000107
FILLER_26_97,VGND,li1,52.9000,81.6000,0.000106
FILLER_26_85,VGND,li1,47.3800,81.6000,0.000106
FILLER_26_83,VGND,li1,43.9300,81.6000,0.000099
