Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_174,VPWR,li1,85.7900,89.7600,1.799924
FILLER_29_169,VPWR,li1,83.7200,89.7600,1.799924
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.799924
FILLER_29_160,VPWR,li1,79.3500,89.7600,1.799924
FILLER_29_153,VPWR,li1,76.8200,89.7600,1.799924
FILLER_29_146,VPWR,li1,73.6000,89.7600,1.799924
FILLER_29_141,VPWR,li1,70.8400,89.7600,1.799924
FILLER_29_139,VPWR,li1,69.6900,89.7600,1.799924
FILLER_29_132,VPWR,li1,67.1600,89.7600,1.799924
FILLER_29_126,VPWR,li1,64.1700,89.7600,1.799924
FILLER_29_119,VPWR,li1,60.9500,89.7600,1.799924
FILLER_29_113,VPWR,li1,57.9600,89.7600,1.799924
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.799927
FILLER_29_104,VPWR,li1,54.2800,89.7600,1.799930
FILLER_29_97,VPWR,li1,51.0600,89.7600,1.799934
FILLER_29_90,VPWR,li1,47.8400,89.7600,1.799937
FILLER_29_85,VPWR,li1,45.0800,89.7600,1.799939
FILLER_29_83,VPWR,li1,43.9300,89.7600,1.799941
FILLER_29_77,VPWR,li1,41.6300,89.7600,1.799944
FILLER_29_69,VPWR,li1,38.1800,89.7600,1.799948
FILLER_29_57,VPWR,li1,34.5000,89.7600,1.799955
FILLER_29_53,VPWR,li1,30.5900,89.7600,1.799963
FILLER_29_41,VPWR,li1,27.1400,89.7600,1.799969
FILLER_29_29,VPWR,li1,21.6200,89.7600,1.799980
FILLER_29_24,VPWR,li1,17.4800,89.7600,1.799980
FILLER_29_12,VPWR,li1,13.8000,89.7600,1.799980
FILLER_28_165,VPWR,li1,82.3400,89.7600,1.799924
FILLER_28_153,VPWR,li1,78.6600,89.7600,1.799924
FILLER_28_141,VPWR,li1,73.1400,89.7600,1.799924
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.799924
FILLER_28_135,VPWR,li1,68.5400,89.7600,1.799924
FILLER_28_123,VPWR,li1,64.8600,89.7600,1.799924
FILLER_28_115,VPWR,li1,59.1100,89.7600,1.799924
FILLER_28_109,VPWR,li1,56.3500,89.7600,1.799927
FILLER_28_97,VPWR,li1,52.9000,89.7600,1.799930
FILLER_28_85,VPWR,li1,47.3800,89.7600,1.799937
FILLER_28_83,VPWR,li1,43.9300,89.7600,1.799941
FILLER_28_77,VPWR,li1,42.3200,89.7600,1.799941
FILLER_28_65,VPWR,li1,38.1800,89.7600,1.799948
FILLER_28_53,VPWR,li1,32.6600,89.7600,1.799958
FILLER_28_41,VPWR,li1,27.1400,89.7600,1.799969
FILLER_28_29,VPWR,li1,21.6200,89.7600,1.799980
FILLER_28_27,VPWR,li1,18.1700,89.7600,1.799980
FILLER_28_15,VPWR,li1,15.1800,89.7600,1.799980
FILLER_28_3,VPWR,li1,9.6600,89.7600,1.799980
FILLER_27_169,VPWR,li1,83.9500,84.3200,1.800000
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.800000
FILLER_27_161,VPWR,li1,80.9600,84.3200,1.800000
FILLER_27_149,VPWR,li1,76.8200,84.3200,1.800000
FILLER_27_137,VPWR,li1,71.3000,84.3200,1.800000
FILLER_27_125,VPWR,li1,65.7800,84.3200,1.800000
FILLER_27_113,VPWR,li1,60.2600,84.3200,1.800000
FILLER_27_111,VPWR,li1,56.8100,84.3200,1.800000
FILLER_27_105,VPWR,li1,55.2000,84.3200,1.800000
FILLER_27_93,VPWR,li1,51.0600,84.3200,1.800000
FILLER_27_81,VPWR,li1,45.5400,84.3200,1.800000
FILLER_27_69,VPWR,li1,40.0200,84.3200,1.800000
FILLER_27_57,VPWR,li1,34.5000,84.3200,1.800000
FILLER_27_54,VPWR,li1,30.8200,84.3200,1.800000
FILLER_27_42,VPWR,li1,27.6000,84.3200,1.800000
FILLER_27_30,VPWR,li1,22.0800,84.3200,1.800000
FILLER_27_18,VPWR,li1,16.5600,84.3200,1.799999
FILLER_27_6,VPWR,li1,11.0400,84.3200,1.799999
FILLER_26_173,VPWR,li1,85.5600,84.3200,1.800000
FILLER_26_165,VPWR,li1,83.2600,84.3200,1.800000
FILLER_26_153,VPWR,li1,78.6600,84.3200,1.800000
FILLER_26_141,VPWR,li1,73.1400,84.3200,1.800000
FILLER_26_139,VPWR,li1,69.6900,84.3200,1.800000
FILLER_26_133,VPWR,li1,68.0800,84.3200,1.800000
FILLER_26_121,VPWR,li1,63.9400,84.3200,1.800000
FILLER_26_109,VPWR,li1,58.4200,84.3200,1.800000
FILLER_26_97,VPWR,li1,52.9000,84.3200,1.800000
FILLER_26_85,VPWR,li1,47.3800,84.3200,1.800000
FILLER_26_83,VPWR,li1,43.9300,84.3200,1.800000
FILLER_26_77,VPWR,li1,42.3200,84.3200,1.800000
FILLER_26_65,VPWR,li1,38.1800,84.3200,1.800000
FILLER_26_53,VPWR,li1,32.6600,84.3200,1.800000
FILLER_26_41,VPWR,li1,27.1400,84.3200,1.800000
FILLER_26_29,VPWR,li1,21.6200,84.3200,1.800000
FILLER_26_26,VPWR,li1,17.9400,84.3200,1.799999
FILLER_26_18,VPWR,li1,15.6400,84.3200,1.799999
FILLER_26_6,VPWR,li1,11.0400,84.3200,1.799999
FILLER_25_169,VPWR,li1,84.6400,78.8800,1.799712
FILLER_25_167,VPWR,li1,82.5700,78.8800,1.799712
FILLER_25_161,VPWR,li1,80.9600,78.8800,1.799712
FILLER_25_149,VPWR,li1,76.8200,78.8800,1.799712
FILLER_25_137,VPWR,li1,71.3000,78.8800,1.799712
FILLER_25_125,VPWR,li1,65.7800,78.8800,1.799712
FILLER_25_113,VPWR,li1,60.2600,78.8800,1.799713
FILLER_25_111,VPWR,li1,56.8100,78.8800,1.799717
FILLER_25_97,VPWR,li1,51.9800,78.8800,1.799724
FILLER_25_75,VPWR,li1,40.2500,78.8800,1.799765
FILLER_25_69,VPWR,li1,38.6400,78.8800,1.799765
FILLER_25_57,VPWR,li1,34.5000,78.8800,1.799796
FILLER_25_55,VPWR,li1,31.0500,78.8800,1.799816
FILLER_25_51,VPWR,li1,29.9000,78.8800,1.799840
FILLER_25_39,VPWR,li1,26.2200,78.8800,1.799859
FILLER_25_17,VPWR,li1,13.8000,78.8800,1.799894
FILLER_25_9,VPWR,li1,11.5000,78.8800,1.799894
FILLER_24_177,VPWR,li1,87.1700,78.8800,1.799712
FILLER_24_165,VPWR,li1,84.1800,78.8800,1.799712
FILLER_24_153,VPWR,li1,78.6600,78.8800,1.799712
FILLER_24_141,VPWR,li1,73.1400,78.8800,1.799712
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.799712
FILLER_24_133,VPWR,li1,68.0800,78.8800,1.799712
FILLER_24_101,VPWR,li1,52.2100,78.8800,1.799724
FILLER_24_97,VPWR,li1,51.0600,78.8800,1.799724
FILLER_24_85,VPWR,li1,47.3800,78.8800,1.799731
FILLER_24_83,VPWR,li1,43.9300,78.8800,1.799737
FILLER_24_71,VPWR,li1,38.8700,78.8800,1.799765
FILLER_24_49,VPWR,li1,28.2900,78.8800,1.799840
FILLER_24_41,VPWR,li1,26.2200,78.8800,1.799859
